cluster_id,deprel,count,percentage_in_cluster,percentage_of_deprel
0,33,370,40.305010893246184,2.169578984402486
0,38,202,22.004357298474943,2.0476431829700963
0,41,95,10.348583877995644,22.041763341067284
0,15,65,7.080610021786492,0.8763651071861939
0,37,42,4.57516339869281,0.6531881804043546
1,20,2066,95.73679332715477,20.47571853320119
1,3,67,3.104726598702502,0.7996180928511756
1,27,10,0.46339202965708987,0.18982536066818526
1,34,3,0.13901760889712697,0.035452611675726775
1,15,3,0.13901760889712697,0.040447620331670486
2,44,1475,44.042997909823825,6.22599299311975
2,33,665,19.856673633920575,3.899378444939604
2,28,460,13.73544341594506,37.18674211802749
2,38,186,5.553896685577785,1.88545362392296
2,15,132,3.9414750671842342,1.7796952945935016
3,33,1102,29.473121155389144,6.461827137328487
3,38,635,16.98315057502006,6.436898124683224
3,37,584,15.619149505215299,9.082426127527215
3,15,390,10.430596416154051,5.258190643117163
3,34,351,9.387536774538646,4.147955566060033
4,46,1018,38.89950324799389,12.656968792739029
4,15,436,16.660298051203668,5.878387488202778
4,0,325,12.41880015284677,7.797504798464491
4,16,308,11.76920137562094,16.849015317286653
4,1,209,7.986243790599924,7.4456715354470955
5,20,2402,99.66804979253112,23.805748265609513
5,27,5,0.2074688796680498,0.09491268033409263
5,43,2,0.08298755186721991,0.14958863126402394
5,33,1,0.04149377593360996,0.005863726984871584
6,9,21840,84.98385151173198,94.92763072108488
6,27,1560,6.070275107980856,29.6127562642369
6,32,893,3.47484337911981,16.295620437956202
6,3,802,3.1207439978209273,9.571547917412579
6,44,367,1.4280711311724192,1.5491114769321683
7,3,3573,75.01574637833298,42.64232008592911
7,27,396,8.314087759815243,7.517084282460136
7,46,146,3.0652949821541045,1.815243068506776
7,15,106,2.2254881377283224,1.4291492517190238
7,5,104,2.1834977955070336,0.9375281709185973
8,44,13236,83.11459968602826,55.86931746232746
8,3,1311,8.232339089481947,15.646258503401361
8,1,401,2.5180533751962324,14.285714285714285
8,7,254,1.5949764521193095,6.4895247828308635
8,10,155,0.9733124018838305,2.78126682217836
9,3,1273,93.67181751287713,15.192743764172336
9,33,17,1.2509197939661516,0.09968335874281695
9,15,14,1.030169242089772,0.1887555615477956
9,32,14,1.030169242089772,0.25547445255474455
9,27,13,0.9565857247976454,0.24677296886864084
10,46,2083,29.919563343866706,25.89829665547681
10,0,2028,29.129560471128986,48.65642994241843
10,15,712,10.226946279804654,9.599568558716461
10,1,547,7.8569376615914965,19.48699679372996
10,8,378,5.429474288997414,25.2
11,20,1501,96.21794871794872,14.87611496531219
11,27,30,1.9230769230769231,0.5694760820045558
11,33,15,0.9615384615384616,0.08795590477307377
11,38,6,0.38461538461538464,0.060821084642676125
11,15,3,0.19230769230769232,0.040447620331670486
12,32,1994,99.10536779324056,36.386861313868614
12,27,15,0.7455268389662028,0.2847380410022779
12,26,1,0.049701789264413515,0.0526592943654555
12,9,1,0.049701789264413515,0.0043465032381449125
12,37,1,0.049701789264413515,0.015552099533437013
13,33,3620,27.97743256820465,21.226691685235135
13,34,2268,17.5284025040575,26.802174426849447
13,38,2115,16.34593090656156,21.439432336543334
13,37,1760,13.602287657469667,27.371695178849144
13,15,974,7.527629646804234,13.131994067682351
14,34,1238,50.060655074807926,14.630111084849917
14,38,436,17.63040841083704,4.419665484034465
14,27,330,13.344116457743633,6.264236902050115
14,37,227,9.179134654266074,3.5303265940902024
14,35,117,4.731095835018197,6.7164179104477615
15,32,736,100.0,13.43065693430657
16,36,608,84.91620111731844,17.054698457223
16,14,41,5.726256983240224,74.54545454545455
16,15,21,2.9329608938547485,0.2831333423216934
16,34,20,2.793296089385475,0.2363507445048452
16,46,8,1.1173184357541899,0.09946537361680964
17,26,1256,52.77310924369748,66.14007372301212
17,24,815,34.2436974789916,85.16196447230931
17,25,120,5.042016806722689,22.68431001890359
17,23,102,4.285714285714286,88.69565217391305
17,30,27,1.134453781512605,1.9765739385065886
18,10,5290,67.9424608271256,94.92194509240983
18,32,1624,20.85795016696635,29.635036496350363
18,3,356,4.5723092730542,4.2487170306719175
18,27,339,4.353968661700488,6.435079726651481
18,9,72,0.9247367069098381,0.3129482331464337
19,36,40,68.96551724137932,1.1220196353436185
19,33,4,6.896551724137931,0.023454907939486336
19,5,3,5.172413793103448,0.027044081853421078
19,20,2,3.4482758620689653,0.019821605550049554
19,38,2,3.4482758620689653,0.02027369488089204
20,36,2262,72.43035542747359,63.450210378681625
20,43,612,19.596541786743515,45.774121166791325
20,15,162,5.187319884726225,2.184171497910206
20,34,20,0.6404098623118796,0.2363507445048452
20,37,18,0.5763688760806917,0.27993779160186627
21,20,624,94.68892261001517,6.184340931615461
21,38,16,2.4279210925644916,0.16218955904713633
21,33,3,0.4552352048558422,0.017591180954614753
21,5,2,0.30349013657056145,0.018029387902280716
21,15,2,0.30349013657056145,0.026965080221113658
22,33,560,47.53820033955857,3.2836871115280872
22,38,148,12.563667232597622,1.500253421186011
22,34,135,11.460101867572156,1.595367525407705
22,15,90,7.6400679117147705,1.2134286099501146
22,28,54,4.584040747028863,4.365400161681487
23,46,1535,57.36173393124066,19.08491856272535
23,0,479,17.899850523168908,11.49232245681382
23,15,337,12.593423019431988,4.543616017257651
23,1,165,6.165919282511211,5.878161738510865
23,12,78,2.914798206278027,4.037267080745342
24,7,3350,82.47168882323979,85.59018906489526
24,20,656,16.149679960610534,6.501486620416254
24,46,19,0.46774987690792713,0.23623026233992292
24,15,11,0.27080256031511574,0.14830794121612512
24,5,8,0.19694731659281145,0.07211755160912287
25,12,486,20.76035882101666,25.15527950310559
25,1,398,17.001281503630928,14.17883861774136
25,46,320,13.669372063220846,3.978614944672386
25,8,288,12.302434856898762,19.2
25,0,260,11.106364801366936,6.238003838771593
26,37,280,35.48795944233207,4.354587869362364
26,30,192,24.334600760456272,14.055636896046853
26,22,184,23.32065906210393,39.31623931623932
26,25,83,10.519645120405578,15.689981096408317
26,26,36,4.562737642585551,1.8957345971563981
27,36,366,87.98076923076923,10.26647966339411
27,15,15,3.6057692307692304,0.20223810165835243
27,27,13,3.125,0.24677296886864084
27,34,11,2.644230769230769,0.12999290947766487
27,46,4,0.9615384615384616,0.04973268680840482
28,36,277,76.30853994490359,7.769985974754558
28,15,50,13.774104683195592,0.6741270055278414
28,43,19,5.234159779614325,1.4210919970082274
28,34,14,3.8567493112947657,0.16544552115339162
28,42,2,0.5509641873278237,3.278688524590164
29,5,2296,79.41888619854721,20.697737311818265
29,15,288,9.961950882047734,3.8829715518403667
29,48,87,3.0093393289519197,8.913934426229508
29,46,58,2.0062262193012796,0.72112395872187
29,27,39,1.349014181943964,0.7403189066059226
30,37,388,28.976848394324122,6.034214618973562
30,30,288,21.50858849887976,21.08345534407028
30,22,262,19.566840926064227,55.98290598290598
30,26,126,9.410007468259895,6.6350710900473935
30,25,75,5.6011949215832715,14.177693761814744
31,33,1887,24.608763693270735,11.06485282045268
31,34,1673,21.817944705268648,19.7707397778303
31,38,1416,18.466353677621285,14.353775975671565
31,37,821,10.706833594157537,12.76827371695179
31,15,389,5.07303077725613,5.244708103006607
