cluster_id,deprel,count,percentage_in_cluster,percentage_of_deprel
0,nsubj,1415,24.325253567130822,16.721815173717797
0,nmod,1361,23.3969400034382,7.980532426410226
0,obl,1104,18.97885507993811,11.191079574252408
0,obj,572,9.83324737837373,8.895800933125972
0,conj,259,4.452466907340553,3.4919778886342185
1,case,14011,84.87400048461352,60.89885686964836
1,fixed,1002,6.069784346983281,19.020501138952163
1,advmod,562,3.404409983038527,6.707244301229263
1,mark,540,3.271141264841289,9.854014598540147
1,punct,228,1.3811485340440999,0.962390781309358
2,root,1914,34.319526627218934,23.797090637821707
2,cop,1068,19.150080688542225,58.42450765864332
2,aux:pass,548,9.826071364532902,36.53333333333333
2,acl,517,9.270216962524655,12.404030710172744
2,conj,495,8.875739644970414,6.67385735472563
3,punct,4597,76.70615718338061,19.403993077539994
3,advmod,554,9.244118137827465,6.611767514023153
3,advcl,130,2.1691973969631237,4.631278945493409
3,nmod,99,1.6519272484565326,0.5805089715022869
3,cc,93,1.5518104455197732,1.668760093307016
4,nummod,542,86.5814696485623,15.203366058906031
4,conj,41,6.549520766773163,0.55278414453283
4,fixed,13,2.07667731629393,0.24677296886864084
4,nsubj,11,1.7571884984025559,0.12999290947766487
4,parataxis,10,1.5974440894568689,0.7479431563201197
5,nsubj,401,20.48008171603677,4.738832427322146
5,obj,398,20.326864147088866,6.189735614307931
5,iobj,298,15.219611848825332,21.815519765739385
5,expl,276,14.096016343207355,58.97435897435898
5,obl,161,8.22267620020429,1.6320324379118096
6,amod,4707,84.91791448674003,42.43216442801767
6,conj,239,4.3117445426664265,3.2223270864230824
6,xcomp,141,2.543748872451741,14.446721311475411
6,root,115,2.0746887966804977,1.4298147457416386
6,acl,81,1.4613025437488725,1.9433781190019195
7,mark,736,100.0,13.43065693430657
8,root,2090,30.10659752232786,25.985328857391522
8,acl,2020,29.09824258138865,48.464491362763916
8,conj,712,10.256410256410255,9.599568558716461
8,advcl,544,7.836358398156151,19.380121125757036
8,aux:pass,378,5.445116681071737,25.2
9,det,849,94.64882943143813,8.414271555996036
9,obl,20,2.229654403567447,0.20273694880892043
9,nmod,7,0.7803790412486065,0.041046088894101086
9,conj,4,0.4459308807134894,0.053930160442227315
9,amod,3,0.33444816053511706,0.027044081853421078
10,det,1563,96.36251541307028,15.490584737363728
10,fixed,30,1.8495684340320593,0.5694760820045558
10,nmod,15,0.9247842170160296,0.08795590477307377
10,obl,6,0.36991368680641185,0.060821084642676125
10,conj,3,0.18495684340320592,0.040447620331670486
11,nmod,559,47.534013605442176,3.2778233845432156
11,obl,147,12.5,1.490116573745565
11,nsubj,135,11.479591836734695,1.595367525407705
11,conj,90,7.653061224489796,1.2134286099501146
11,flat,54,4.591836734693878,4.365400161681487
12,expl:pv,1256,52.77310924369748,66.14007372301212
12,expl:pass,815,34.2436974789916,85.16196447230931
12,expl:poss,120,5.042016806722689,22.68431001890359
12,expl:impers,102,4.285714285714286,88.69565217391305
12,iobj,27,1.134453781512605,1.9765739385065886
13,nmod,660,38.0184331797235,3.870059810015246
13,obl,216,12.442396313364055,2.1895590471363406
13,conj,193,11.117511520737327,2.602130241337468
13,amod,132,7.603686635944701,1.1899396015505275
13,obj,125,7.200460829493087,1.9440124416796267
14,nummod,40,68.96551724137932,1.1220196353436185
14,nmod,4,6.896551724137931,0.023454907939486336
14,amod,3,5.172413793103448,0.027044081853421078
14,det,2,3.4482758620689653,0.019821605550049554
14,obl,2,3.4482758620689653,0.02027369488089204
15,nmod,1619,35.05846686877436,9.493373988507095
15,obl,848,18.362927674317888,8.596046629498225
15,obj,492,10.653962754439151,7.651632970451011
