,pattern,n_pattern_occurence,n_pattern_positive_occurence,decision,alpha,value,coverage,precision
0,node:X:own:rel_shallow=amod,15760,9593,yes,0.028999999999999998,0.32744774854932857,91.32711348057883,60.86928934010152
1,node:X:parent:position=after,194571,496,no,0.016,-0.049807345498478206,65.7448999640914,99.74508020208562
2,node:X:prev:PronType=Art,41705,349,no,0.0020000000000000018,-0.12007322409301668,14.00976984627059,99.16316988370698
3,node:X:child:Number=Sing,71959,619,no,0.0020000000000000018,-0.025726329560047057,24.16715786906238,99.1397879347962
4,node:X:own:SpaceAfter=No,37836,3190,yes,0.001,0.04819396822469785,30.36938309215537,8.431123797441591
5,node:X:own:Gender=Fem,57595,5186,yes,0.001,0.055939885147434365,49.37166793602437,9.004253841479295
6,node:X:child:rel_shallow=case,41656,55,no,0.001,-0.31723006854826563,14.09276611313238,99.86796619934704
