,pattern,n_pattern_occurence,n_pattern_positive_occurence,decision,alpha,value,coverage,precision
0,node:X:child:rel_shallow=flat:name,1945,1755,yes,0.0050000000000000044,2.824719155575451,67.94425087108013,90.23136246786633
1,node:X:parent:position=after,194571,573,no,0.0020000000000000018,-0.07352783422124187,64.0014515942794,99.70550595926423
2,node:X:own:Number=Sing,145989,126,no,0.0020000000000000018,-0.20984322449833148,48.12134008544612,99.91369212748906
3,node:X:own:Number=Plur,50043,9,no,0.001,-0.027131893250658567,16.50660640351022,99.98201546669864
