,pattern,n_pattern_occurence,n_pattern_positive_occurence,decision,alpha,value,coverage,precision
0,node:X:parent:position=before,111127,4875,no,0.1,-0.7583590009186414,75.90621383360242,95.61312732279285
1,node:X:parent:position=after,194571,160845,yes,0.1,0.7060259937677609,97.05829109341057,82.66648164423269
2,node:X:child:Number=Sing,71959,2120,no,0.058,-0.01563306518872909,49.89284030347626,97.05387790269458
3,node:X:own:rel_shallow=det,60638,60638,yes,0.049,0.006792813875511117,36.590634805696354,100.0
4,node:X:own:rel_shallow=case,57817,57570,yes,0.045000000000000005,0.0442559354523806,34.73931933381608,99.57279000985869
5,node:X:own:Person=3,35745,8209,no,0.027999999999999997,-0.008646791745990257,19.671662689851264,77.03455028675339
6,node:X:child:rel_shallow=det,47610,492,no,0.027999999999999997,-0.029137987146873545,33.66100387203703,98.9666036546944
7,node:X:own:Gender=Masc,80596,25287,no,0.02600000000000001,-0.011267557012911933,39.512637700210036,68.62499379621816
8,node:X:parent:VerbForm=Fin,38718,7269,no,0.02500000000000001,-0.0073019857838787505,22.46710197316721,81.22578645591197
9,node:X:own:rel_shallow=nsubj,15129,2018,no,0.019000000000000003,-0.03830963888470906,9.366471874151653,86.66137880891004
10,node:X:own:PronType=Prs,15694,4630,no,0.018000000000000002,-0.04348819448461683,7.904099215591022,70.49827959729834
11,node:X:parent:Tense=Past,33071,8397,no,0.013999999999999999,-0.009552298689091576,17.627055680178312,74.60917420096158
12,node:X:own:Number=Sing,145989,59123,no,0.012999999999999998,-0.007207007450293235,62.05689465487434,59.501743282028094
13,node:X:next:Number=Sing,138385,101743,yes,0.01200000000000001,0.025686572385984707,61.3945208785904,73.5216967156845
14,node:X:child:rel_shallow=case,41656,408,no,0.010000000000000009,-0.06762683116721413,29.4674877480747,99.02054926061071
15,node:X:own:Gender=Fem,57595,19271,no,0.009000000000000008,-0.020238657784765635,27.378588063838606,66.54049830714472
16,node:X:next:Gender=Fem,59594,48673,yes,0.008000000000000007,0.05086697878008095,29.370625150856867,81.67432963049973
17,node:X:next:Gender=Masc,79467,61819,yes,0.008000000000000007,0.012322543065266922,37.30328264542602,77.79203946292171
18,node:X:child:Number=Plur,33915,780,no,0.008000000000000007,-0.007783516023188053,23.671576962094043,97.7001326846528
19,node:X:parent:Voice=Act,12443,2095,no,0.006000000000000005,-0.10443082490103528,7.3925902641843715,83.16322430282086
20,node:X:own:rel_shallow=cc,10547,10387,yes,0.006000000000000005,0.05100991921544429,6.267801110306541,98.48298094244808
21,node:X:next:PronType=Art,43673,35169,yes,0.006000000000000005,0.04076540873155576,21.221940622737147,80.5280150207222
22,node:X:child:rel_shallow=punct,29870,989,no,0.006000000000000005,-0.04988540198221092,20.63252796868079,96.68898560428524
23,node:X:own:Emph=No,9831,282,no,0.0050000000000000044,-0.010247681209882398,6.821786280701253,97.13152273420812
24,node:X:own:Number=Plur,50043,19851,no,0.0050000000000000044,-0.028335980523614634,21.569103716298276,60.3321143816318
25,node:X:own:rel_shallow=cop,5552,5552,yes,0.0050000000000000044,0.07910355904445798,3.350229302437847,100.0
26,node:X:own:rel_shallow=aux:tense,3837,498,no,0.0050000000000000044,-0.4215021040009632,2.3853748446184397,87.02111024237685
27,node:X:parent:Number=Sing,193756,107885,yes,0.0040000000000000036,-0.054684944989508016,65.10077238715907,55.68085633477157
28,node:X:own:InIdiom=Yes,3148,1849,yes,0.0040000000000000036,0.11322079927756779,1.1157373883659183,58.73570520965693
29,node:X:parent:Mood=Ind,36971,6755,no,0.0040000000000000036,-0.03859258323403347,21.586249267742076,81.72892266911904
30,node:X:own:PronType=Art,53465,53465,yes,0.0040000000000000036,0.14396308878959418,32.26224957760077,100.0
31,node:X:own:ExtPos=ADV,1702,1626,yes,0.0030000000000000027,0.11283822464767246,0.9811730629978277,95.53466509988249
32,node:X:prev:Gender=Masc,70277,36666,no,0.0030000000000000027,0.05626414198145191,24.01163039906271,47.82645815843021
33,node:X:own:rel_shallow=fixed,3144,1845,yes,0.0030000000000000027,0.21963061566452446,1.113323678493845,58.68320610687023
34,node:X:own:rel_shallow=aux:pass,3408,3387,yes,0.0030000000000000027,0.5158983756524866,2.0438088341781318,99.38380281690141
35,node:X:own:rel_shallow=mark,6610,6414,yes,0.0030000000000000027,0.2817899168161222,3.87038377986966,97.03479576399396
36,node:X:parent:Idiom=Yes,3781,2007,no,0.0030000000000000027,0.06878192240682335,1.2673420108874252,46.91880454906109
37,node:X:next:VerbForm=Part,10994,4643,no,0.0020000000000000018,-0.11876648033506759,4.537141550815129,57.76787338548299
38,node:X:parent:VerbForm=Part,32405,8505,no,0.0020000000000000018,-0.02936430001740975,17.07411164611582,73.7540503008795
39,node:X:next:Tense=Past,11107,4462,no,0.0020000000000000018,-0.22582085277064845,4.747174556001657,59.82713604033493
40,node:X:next:Number=Plur,50718,37345,yes,0.0020000000000000018,0.13198133957439973,22.534998793145064,73.63263535628376
41,node:X:own:rel_shallow=amod,15760,5506,no,0.0020000000000000018,0.014426386395137825,7.325436854362828,65.06345177664976
42,node:X:own:SpaceAfter=No,37836,15333,no,0.0020000000000000018,-0.033484191157671594,16.07609767249139,59.47510307643514
43,node:X:child:SpaceAfter=No,36294,1024,no,0.0020000000000000018,-0.04173773924534174,25.196816642615268,97.17859701328044
44,node:X:child:Gender=Fem,40433,819,no,0.0020000000000000018,-0.01408958987748865,28.300161453942764,97.97442682956991
45,node:X:prev:PronType=Art,41705,4398,no,0.001,0.031730984924669664,26.652045321407652,89.45450185829037
46,node:X:own:VerbForm=Inf,5428,407,no,0.001,-0.7396939876053608,3.5869922416379714,92.50184229918939
47,node:X:own:VerbForm=Part,12397,972,no,0.001,-0.11943251568752344,8.16199688522482,92.15939340162943
48,node:X:prev:VerbForm=Fin,22828,13166,yes,0.001,-0.0716241621072381,7.944726043929521,57.67478535132293
49,node:X:own:rel_shallow=advmod,12953,6777,no,0.001,-0.039100857954975005,4.412121904870765,47.68007411410484
50,node:X:own:rel_shallow=obj,10534,149,no,0.001,-0.7167992250861224,7.419022989326894,98.58553256123031
51,node:X:prev:Idiom=Yes,2625,1612,yes,0.001,0.08182212857378801,0.9727250784455709,61.40952380952381
52,node:X:own:PronType=Rel,3593,2902,yes,0.001,0.6217431143377916,1.7511465121892347,80.76816031171722
53,node:X:child:rel_shallow=obj,11733,78,no,0.001,-0.5595200376979871,8.326308419894554,99.33520838660189
